Date,Year,Month,Month_Number,Model,Series,Segment,Region,Unit Price (USD),Units Sold,Total Revenue (USD),Cores,Threads,TDP (Watts),Lithography (nm),Total Cores Shipped,Total Threads Shipped,Est Power Shipped (kW)
2023-01-01,2023,January,1,Core i9-12900K,CORE I9,DESKTOP,NORTH AMERICA,589,265.0,156085.0,16,24,125,10,4240,6360,33.125
2023-01-02,2023,January,1,Core i7-12700K,CORE I7,DESKTOP,NORTH AMERICA,384,625.0,240000.0,12,20,125,10,7500,12500,78.125
2023-01-04,2023,January,1,Core i5-12400,CORE I5,DESKTOP,NORTH AMERICA,192,1134.0,217728.0,6,12,65,10,6804,13608,73.71
2023-01-04,2023,March,3,Core i9-12900K,CORE I9,DESKTOP,EUROPE,589,239.0,140771.0,16,24,125,10,3824,5736,29.875
2023-01-05,2023,January,1,Core i3-12100,CELERON,DESKTOP,NORTH AMERICA,110,823.0,90530.0,4,8,60,10,3292,6584,49.38
2023-01-06,2023,January,1,Pentium Gold G7400,PENTIUM,DESKTOP,NORTH AMERICA,64,411.0,26304.0,2,4,46,10,822,1644,18.906
2023-01-07,2023,May,5,Core i7-12700K,CORE I7,DESKTOP,ASIA-PACIFIC,384,620.0,238080.0,12,20,125,10,7440,12400,77.5
2023-01-09,2023,January,1,Atom C5320,ATOM,EMBEDDED,NORTH AMERICA,150,189.0,28350.0,8,8,41,10,1512,1512,7.749
2023-01-10,2023,July,7,Core i5-12400,CELERON,DESKTOP,LATIN AMERICA,192,,139776.0,6,12,65,10,4368,8736,47.32
2023-01-10,2023,January,1,Atom C3758R,ATOM,EMBEDDED,NORTH AMERICA,95,341.0,32395.0,8,8,26,14,2728,2728,8.866
2023-01-11,2023,January,1,Core i9-12900K,CORE I9,DESKTOP,EUROPE,589,196.0,115444.0,16,24,125,10,3136,4704,24.5
2023-01-12,2023,January,1,Core i7-12700K,CORE I7,DESKTOP,EUROPE,384,523.0,200832.0,12,20,125,10,6276,10460,65.375
2023-01-13,2023,January,1,Core i5-12600K,CELERON,DESKTOP,EUROPE,289,673.0,194497.0,10,16,125,10,6730,10768,84.125
2023-01-14,2023,January,1,Core i5-12400,CELERON,DESKTOP,EUROPE,192,838.0,160896.0,6,12,65,10,5028,10056,54.47
2023-01-15,2023,January,1,Core i3-12100,CORE I3,DESKTOP,EUROPE,110,,76010.0,4,8,60,10,2764,5528,41.46
2023-01-16,2023,January,1,Pentium Gold G7400,PENTIUM,DESKTOP,EUROPE,64,346.0,22144.0,2,4,46,10,692,1384,15.916
2023-01-17,2023,January,1,Celeron G6900,CELERON,DESKTOP,EUROPE,42,,12096.0,2,2,46,10,576,576,13.248
2023-01-18,2023,January,1,Atom C5125,ATOM,EMBEDDED,EUROPE,120,192.0,23040.0,8,8,50,10,1536,1536,9.6
2023-01-19,2023,January,1,Atom C5320,ATOM,EMBEDDED,EUROPE,150,149.0,22350.0,8,8,41,10,1192,1192,6.109
2023-01-20,2023,January,1,Atom C3758R,ATOM,EMBEDDED,EUROPE,95,250.0,23750.0,8,8,26,14,2000,2000,6.5
2023-01-21,2023,January,1,Core i9-12900K,CORE I9,DESKTOP,ASIA-PACIFIC,589,308.0,181412.0,16,24,125,10,4928,7392,38.5
2023-01-22,2023,January,1,Core i7-12700K,CELERON,DESKTOP,ASIA-PACIFIC,384,532.0,204288.0,12,20,125,10,6384,10640,66.5
2023-01-23,2023,January,1,Core i5-12600K,CORE I5,DESKTOP,ASIA-PACIFIC,289,745.0,215305.0,10,16,125,10,7450,11920,93.125
2023-01-24,2023,January,1,Core i5-12400,CELERON,DESKTOP,ASIA-PACIFIC,192,1145.0,219840.0,6,12,65,10,6870,13740,74.425
2023-01-25,2023,January,1,Core i3-12100,CELERON,DESKTOP,ASIA-PACIFIC,110,981.0,107910.0,4,8,60,10,3924,7848,58.86
2023-01-26,2023,January,1,Pentium Gold G7400,PENTIUM,DESKTOP,ASIA-PACIFIC,64,539.0,34496.0,2,4,46,10,1078,2156,24.794
